iter	Passed	Remaining
0	1	109
1	2	107
2	3	102
3	3	93
4	4	93
5	5	92
6	6	92
7	7	91
8	8	88
9	9	87
10	10	86
11	11	87
12	12	86
13	13	85
14	15	85
15	15	83
16	16	80
17	17	78
18	17	76
19	18	74
20	19	72
21	20	70
22	20	69
23	21	68
24	22	66
25	22	65
26	23	63
27	24	62
28	25	61
29	25	60
30	26	60
31	28	60
32	29	59
33	31	60
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	52
40	35	51
41	36	50
42	36	49
43	37	47
44	38	46
45	39	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	39
52	44	39
53	44	38
54	45	36
55	45	35
56	46	35
57	47	34
58	47	33
59	48	32
60	48	31
61	49	30
62	50	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
